dimensione,dct2,lib_dct2
498,3568047500,6999700
499,3627995700,11964700
500,3592000200,4002500
501,3629996200,11996900
502,3615002400,14000400
503,3637022300,14013500
504,3692956100,3000800
505,3914000100,8000900
506,3747001100,4998300
507,3675998500,5000600
508,3778000900,13032000
509,3771962500,14003100
510,3859999100,6005700
511,3819997600,7000200
512,3805994000,3000700
513,3814040000,4993300
514,3852992600,22000000
515,3847995700,9000500
516,3979002700,6000300
517,3908999000,7000200
518,3867033900,5003400
519,3925969400,12999100
520,3858037300,3963200
521,3947971400,15994800
522,3923996500,5000300
523,4010002600,16999900
524,5075914200,15018000
525,4167400300,5001000
526,4325063000,24000300
527,4485998100,4999800
528,4422091200,3999800
529,4132009000,5999800
530,4181522300,5998800
531,5174847000,6003600
532,4175966300,4999200
533,4164999000,6000900
534,4156998500,8000100
535,4172999500,9003800
536,4271308600,6999900
537,4195999000,15038200
538,4238966800,29997800
539,4202993900,5998000
540,4267037200,13959900
541,4308004200,17995300
542,4317964900,25002700
543,4342998100,13998500
544,4411000800,9999700
545,4430999600,8999300
546,4390999800,5000400
547,4393958000,16999900
548,4372000400,10993800
549,4378010200,6992600
550,4492000100,5999900
551,4466966300,6000600
552,4401994800,5000000
553,4484038100,8999900
554,4512011300,14988400
555,4495998500,5999900
556,4549000000,11999900
557,4519004800,15998300
558,4667999100,5999800
559,4527037300,6997400
560,4704965300,3999400
561,4646999000,5999900
562,4712000300,17999700
563,4670004000,17995800
564,4714006100,6994100
565,4733034700,9964100
566,4641996200,17965400
567,4781039200,5998900
568,4802963000,8000000
569,4855035300,17967100
570,4741964100,5998700
571,4778002600,19000300
572,4913000200,5999700
573,4863997800,17040700
574,4959538200,6998500
575,4872215900,6000300
576,4931998100,5000000
577,4952998200,24000300
578,4966035000,5997400
579,5016976300,17998600
580,5030999900,4999200
581,5024001400,8999600
582,4970973500,10991300
583,4987000400,6997600
584,5099551000,8000100
585,5093033800,5001200
586,5162962200,18000700
587,5114038700,18964400
588,5114965800,4999800
589,5187547200,6998500
590,5256964700,9000000
591,5193999500,19000100
592,5227002600,5997000
593,5281999800,22000400
594,5866244300,5003900
595,5551999000,6019500
596,5874235800,15000100
597,5263000600,18999000
598,5609000000,8000700
599,5335033700,18990300
600,5292985600,6022400
