9,10,-413,164,1032,-428,-899,315,57,18,439,-113,-155,30,-167,-8,66,-11,22,45,75,1,-12,-35,-130,-17,20,17,121,48,-17,-32,-79,-21,3,1,30,13,4,18,36,-1,-48,-40,-31,13,22,21,60,0,-23,-14,-50,-2,11,8,22,-10,19,8,-9,18,-39,-24,8,-10,27,10,10,21,-20,-7,-25,-17,25,0,12,0,-6,22,-12,3,-1,-22,7,-23,5,33,-4,18,0,-14,-3,-25,-8,-2,32,36,-32,-13
-267,191,30,-368,408,323,-234,-320,-147,236,100,34,121,-149,-58,5,-67,40,-17,50,57,-2,71,-82,-72,-4,-84,68,82,29,60,-65,-67,-23,-16,37,14,10,6,14,23,-38,-12,8,-16,-28,-20,69,36,-22,31,-33,-61,-1,15,28,4,10,2,-24,15,0,-10,2,-22,0,11,19,14,-15,5,-13,-22,10,2,11,0,-8,11,-2,5,-1,-11,-1,-11,13,5,-12,12,4,9,-2,-22,-1,-5,9,9,-5,11,-8
-710,-100,1020,81,-725,86,-33,28,506,-237,-199,125,-219,84,118,-52,91,-36,12,-9,-74,40,-99,5,102,-12,109,-3,-101,-5,-78,-12,50,40,72,-12,-18,-26,-51,18,-5,0,9,-12,45,24,0,-7,-39,-19,-41,4,69,18,15,0,-34,-12,-12,-1,-5,2,21,0,22,12,-13,-5,-40,-8,15,-12,30,20,3,11,-30,-16,-4,-2,14,-20,10,32,-6,12,-4,-25,-6,-15,1,6,8,30,8,-8,-18,-18,6,-4
-31,-261,201,440,-245,-147,-131,-91,334,68,-36,-30,-174,54,-1,-26,90,-29,47,42,-21,-39,-114,18,0,28,155,-25,-12,-33,-150,39,35,15,87,-31,-14,1,-29,8,-23,2,-4,-5,52,2,16,1,-64,1,-2,-14,25,11,25,14,-12,-20,-34,2,7,1,22,7,4,0,-6,-9,-14,5,-14,-5,38,9,-3,-2,-15,-1,-12,-6,16,0,2,11,0,-2,-2,-7,-5,-3,-7,9,23,-3,-11,2,-3,3,1,-20
-327,123,427,-224,-429,151,446,-116,-234,105,-93,0,139,-81,25,22,-32,35,-38,6,-62,-31,130,-8,35,17,-139,10,-5,-12,104,-1,-5,0,-58,-6,1,27,23,-22,-12,-10,31,36,-9,-25,-43,-14,10,35,49,-5,-12,-26,-38,9,10,19,11,-8,4,-14,14,13,-29,0,-13,-1,24,-4,22,12,-15,-9,-32,-9,12,23,27,-12,-2,-8,-16,15,-12,-5,14,-9,8,14,3,-3,-14,-6,0,5,-17,-8,39,21
29,-9,-29,128,-54,-329,168,327,-137,-64,-6,-110,56,0,-18,111,8,12,20,-132,-79,26,16,95,117,-35,-69,-44,-106,8,107,30,45,-14,-83,12,4,-4,23,-39,-14,37,34,10,-23,11,-27,-70,21,35,18,35,5,-18,-52,-25,26,6,25,15,-26,1,2,0,9,-8,-18,-23,17,40,4,3,-11,-29,-9,-1,15,15,3,3,-7,-3,-8,-5,12,-8,-1,16,-1,-4,-2,1,3,-3,-1,-9,0,7,0,17
317,-1,-332,-8,112,46,24,-82,-51,55,16,4,6,-5,47,-38,-70,26,-54,41,137,-63,10,13,-150,33,35,-26,113,-7,-61,22,-24,-13,5,9,0,-9,27,-10,10,27,-29,-8,-40,-22,56,23,16,-8,-21,-4,-40,14,25,-6,24,-17,-7,10,-10,17,-13,-4,5,-25,14,12,25,9,-47,9,-12,-21,39,3,16,2,-35,-11,-9,46,14,-42,17,-20,-9,37,-7,9,-8,-19,9,-12,8,11,10,8,-34,-4
85,90,-129,-146,76,53,55,15,-79,-39,-24,33,27,41,75,-66,-27,-54,-122,90,59,85,137,-164,-95,0,-106,93,101,8,56,-51,-73,-14,-6,18,14,5,-16,30,54,-25,-8,-38,-71,20,26,46,64,-19,-46,-36,-10,11,12,20,-6,-1,7,-8,15,7,-18,-31,-18,26,20,30,10,-47,4,3,-42,11,31,16,-4,-17,3,-10,-6,17,6,-4,-19,-5,17,9,3,-4,-6,-7,-8,6,6,10,3,-11,-3,-3
135,-37,-211,63,207,-43,-117,34,11,-8,8,-24,47,-23,-66,80,-24,0,100,-114,0,69,-152,54,94,-59,90,-19,-104,34,-23,15,51,-42,1,25,7,-7,-13,13,-32,-12,22,-16,34,31,-10,1,-39,-31,5,15,33,5,-1,-8,-16,11,-6,-2,5,-18,2,4,18,27,-12,-12,-22,-14,10,-4,26,20,-12,6,-17,-19,3,7,15,-8,-7,-6,4,45,-11,-24,4,-38,0,31,11,20,-18,-19,9,-2,0,-8
31,-52,0,9,-21,142,-50,-97,65,-61,-8,51,31,69,-65,-92,-37,26,91,48,63,-89,-135,29,-59,80,159,-73,33,-24,-148,35,13,25,60,-30,11,2,0,0,-44,-15,-47,38,95,-16,33,-9,-92,-9,-13,21,48,0,24,-11,-23,11,-18,-9,-4,-9,7,23,33,-3,-1,-5,-55,-24,18,32,33,4,-4,-23,-19,8,0,6,-7,-10,25,5,-3,12,-10,-18,-9,-1,6,10,11,6,-4,-15,-5,6,-1,1
